Player,Position,PreVORP,RichVal
Ty Smith,D,169.83,-46.17
Calen Addison,D,168.6999359,-47.3000641
Filip Chytil,"C,RW",204.3480914,-47.65190861
Arthur Kaliyev,"LW,RW",203.4946625,-48.5053375
J.J. Moser,D,167.3596962,-48.6403038
Yanni Gourde,C,231.3312374,-48.66876256
Alexander Romanov,D,167.1589095,-48.84109053
Scott Mayfield,D,165.662626,-50.33737401
Spencer Knight,G,131.5842764,-50.41572362
Matt Dumba,D,165.5019184,-50.4980816
Lawson Crouse,"LW,RW",201.4847964,-50.51520355
Joonas Korpisalo,G,131.2078448,-50.79215515
Pyotr Kochetkov,G,131.0559487,-50.94405128
Anthony Cirelli,"C,LW",205.9600003,-51.03999966
Charlie Lindgren,G,130.7195385,-51.28046154
Jason Zucker,LW,205.5415503,-51.45844967
Jake Muzzin,D,164.2456518,-51.75434821
Brayden McNabb,D,164.2148915,-51.78510851
Mikael Granlund,"C,RW",200.1956965,-51.80430346
Gabriel Vilardi,"LW,RW",200.1693688,-51.83063122
Kevin Shattenkirk,D,164.1066888,-51.8933112
Victor Olofsson,RW,199.8788765,-52.12112346
Antti Raanta,G,129.7414543,-52.25854573
Connor Ingram,G,129.7071139,-52.29288608
Travis Sanheim,D,163.5155912,-52.48440883
Joel Farabee,"C,LW",204.4523802,-52.54761975
Scott Laughton,"C,LW",203.2975114,-53.70248856
Brandon Tanev,"LW,RW",198.28723,-53.71277005
Tomas Tatar,"LW,RW",198.2582037,-53.74179631
J.T. Compher,"C,RW",197.8085814,-54.19141857
Adam Henrique,"C,LW",202.4096198,-54.59038024
Ross Colton,"C,LW,RW",197.0721328,-54.92786718
Erik Haula,"C,LW",202.0295767,-54.97042325
Matias Maccelli,LW,201.4148033,-55.58519672
Ryan Strome,C,223.8629592,-56.13704075
Kevin Lankinen,G,125.5615229,-56.43847708
Mason Marchment,"LW,RW",195.3034876,-56.69651239
Zach Parise,"LW,RW",194.6346031,-57.3653969
Eric Comrie,G,123.6416807,-58.35831925
Nicolas Roy,"C,RW",193.3397915,-58.66020851
David Krejci,C,220.8535189,-59.1464811
Yegor Sharangovich,"C,LW",197.5242271,-59.47577293
Adin Hill,G,122.3431709,-59.65682915
Anthony Beauvillier,"LW,RW",192.2103967,-59.7896033
Brandon Saad,LW,196.9410811,-60.05891888
Jesperi Kotkaniemi,"C,LW",196.084428,-60.91557197
Josh Anderson,RW,190.8809846,-61.11901542
Alexander Kerfoot,"C,LW,RW",189.3308059,-62.66919414
Nick Jensen,D,152.3908879,-63.60911207
Jaden Schwartz,LW,192.9441561,-64.05584395
Spencer Martin,G,117.8518462,-64.14815385
Ivan Barbashev,"C,LW",192.6612491,-64.33875088
Mason McTavish,"C,LW",191.9514439,-65.04855608
Kaapo Kakko,RW,186.809697,-65.19030301
Conor Sheary,"LW,RW",186.252482,-65.74751802
Sean Couturier,C,214.1336473,-65.86635268
Phil Kessel,RW,185.6015338,-66.39846617
Daniel Sprong,"LW,RW",185.1748907,-66.82510935
Pavel Francouz,G,114.5829521,-67.41704791
Ian Cole,D,148.0900386,-67.9099614
Jean-Gabriel Pageau,C,211.9526738,-68.04732624
Akira Schmid,G,113.9298987,-68.07010127
Connor Clifton,D,147.5901748,-68.40982523
Cole Perfetti,"C,LW,RW",182.0569595,-69.94304045
Alexander Barabanov,"LW,RW",181.1749471,-70.82505294
Noah Cates,"C,LW",185.5201197,-71.47988034
Dillon Dube,"LW,RW",180.2538878,-71.74611219
Collin Delia,G,110.0303077,-71.96969231
Oliver Wahlstrom,RW,179.6769278,-72.32307222
Jack Quinn,"LW,RW",178.3810369,-73.61896313
Jonas Siegenthaler,D,142.3061328,-73.69386721
Jonatan Berggren,"LW,RW",177.5194286,-74.48057143
Oliver Ekman-Larsson,D,141.1514768,-74.84852315
Stefan Noesen,"LW,RW",176.5041385,-75.49586155
Nikita Zadorov,D,140.4720163,-75.52798368
Kyle Okposo,RW,175.4115433,-76.58845668
Brian Elliott,G,105.4017606,-76.59823943
Anthony Mantha,"LW,RW",174.5184694,-77.4815306
JJ Peterka,"LW,RW",174.0702222,-77.92977778
Charlie Coyle,C,201.7066999,-78.29330013
Arber Xhekaj,D,137.4156166,-78.58438338
Kent Johnson,"LW,RW",171.5852766,-80.41472342
Thomas Greiss,G,100.5829494,-81.41705061
Ilya Mikheyev,"LW,RW",170.4891494,-81.51085062
Jaroslav Halak,G,99.96974184,-82.03025816
Marcus Johansson,"LW,RW",169.9351075,-82.06489248
Jack Roslovic,C,197.727992,-82.27200796
Calle Jarnkrok,"C,LW,RW",169.6995517,-82.30044825
Barclay Goodrow,"C,LW,RW",169.6231104,-82.37688962
Luke Schenn,D,133.5719439,-82.42805608
Felix Sandstrom,G,99.18107692,-82.81892308
Alexander Wennberg,C,196.6201282,-83.37987179
Ryan Johansen,C,196.0967248,-83.9032752
Kasperi Kapanen,RW,168.0091193,-83.99088072
Wyatt Johnston,C,195.3439143,-84.65608566
Jeff Carter,C,195.0145731,-84.98542693
Juuso Parssinen,C,194.8263248,-85.17367521
Tanner Jeannot,RW,166.7003575,-85.29964253
Erik Kallgren,G,96.658,-85.342
Daniel Vladar,G,96.30974294,-85.69025706
Nick Ritchie,LW,170.9927671,-86.00723291
Josh Manson,D,129.2480135,-86.7519865
Miles Wood,LW,169.382405,-87.61759499
Jordan Staal,C,191.8477526,-88.15224737
Kevin Labanc,"LW,RW",162.1364836,-89.86351639
Josh Bailey,"LW,RW",159.9349575,-92.06504254
Pierre Engvall,"LW,RW",159.9292797,-92.07072029
Alex Newhook,"C,LW",164.7565628,-92.24343724
Gustav Nyquist,"LW,RW",158.7374592,-93.26254085
Corey Perry,RW,157.7650965,-94.23490347
Taylor Raddysh,"LW,RW",156.2962414,-95.70375863
Eetu Luostarinen,"C,LW",161.0163588,-95.98364115
William Carrier,LW,159.9486275,-97.05137251
David Rittich,G,78.55070161,-103.4492984
Ty Dellandrea,"C,RW",148.3959665,-103.6040335
Nicklas Backstrom,C,175.9521055,-104.0478945
Jonathan Toews,C,173.8257015,-106.1742985
Nick Bjugstad,"C,RW",143.9110918,-108.0889082
Casey Mittelstadt,C,170.8628757,-109.1371243
Jordan Martinook,"LW,RW",141.7034506,-110.2965494
Sonny Milano,"LW,RW",140.1382529,-111.8617471
Trent Frederic,"C,LW",144.997534,-112.002466
Michael Rasmussen,"C,LW",143.7688255,-113.2311745
Shane Pinto,C,166.1553837,-113.8446163
Adam Ruzicka,"C,LW",141.5543545,-115.4456455
Morgan Frost,"C,LW",141.1725607,-115.8274393
Christian Dvorak,C,163.7616413,-116.2383587
Matt Benning,D,99.2485794,-116.7514206
Jesper Fast,RW,135.2289117,-116.7710883
Nick Foligno,"LW,RW",134.7199087,-117.2800913
Adam Lowry,C,161.4538197,-118.5461803
Sean Monahan,C,157.9460563,-122.0539437
Philipp Kurashev,"LW,RW",123.9164732,-128.0835268
Oskar Sundqvist,"C,RW",120.1292879,-131.8707121
Nic Dowd,C,143.9544995,-136.0455005
Noel Acciari,"C,LW",114.5139287,-142.4860713
Sam Steel,"C,LW",112.7846858,-144.2153142
Blake Lizotte,C,135.6606016,-144.3393984
Michael McLeod,C,107.4017338,-172.5982662
