Player,RichVal,RichValRank,RotoWireRank,DifferenceRoto,DomRank,DifferenceDom,DynastyRank,Difference Dynasty,,,,50
Matt Murray,47.61987327,99,36,FALSE,47,FALSE,#N/A,#N/A,,,,
Pavel Buchnevich,47.21612652,100,46,FALSE,103,TRUE,127,TRUE,,,,
Charlie McAvoy,45.33076283,101,224,FALSE,171,FALSE,134,TRUE,,,,
Sam Reinhart,44.81717871,102,53,TRUE,101,TRUE,68,TRUE,,,,
Cam Talbot,44.70280326,103,20,FALSE,112,TRUE,173,FALSE,,,,
Matt Duchene,43.78925062,104,58,TRUE,87,TRUE,221,FALSE,,,,
Brent Burns,40.73133133,105,105,TRUE,53,FALSE,142,TRUE,,,,
Vitek Vanecek,40.18836563,106,29,FALSE,122,TRUE,#N/A,#N/A,,,,
Ville Husso,39.16438417,107,30,FALSE,108,TRUE,#N/A,#N/A,,,,
Devon Toews,39.08505837,108,113,TRUE,83,TRUE,141,TRUE,,,,
MacKenzie Weegar,38.71764709,109,150,TRUE,128,TRUE,194,FALSE,,,,
Roope Hintz,36.37337332,110,67,TRUE,85,TRUE,69,TRUE,,,,
Nazem Kadri,35.28123439,111,43,FALSE,102,TRUE,106,TRUE,,,,
Jordan Kyrou,35.2403925,112,77,TRUE,121,TRUE,137,TRUE,,,,
Tage Thompson,34.18727717,113,96,TRUE,147,TRUE,#N/A,#N/A,,,,
Mikhail Sergachev,33.26387178,114,219,FALSE,117,TRUE,113,TRUE,,,,
Miro Heiskanen,29.63855345,115,159,TRUE,79,TRUE,75,TRUE,,,,
Seth Jones,29.44527671,116,227,FALSE,61,FALSE,64,FALSE,,,,
Josh Norris,27.45394139,117,106,TRUE,130,TRUE,#N/A,#N/A,,,,
MacKenzie Blackwood,26.82145048,118,#N/A,#N/A,189,FALSE,#N/A,#N/A,,,,
Pierre-Luc Dubois,26.67383628,119,55,FALSE,133,TRUE,109,TRUE,,,,
Tyler Toffoli,26.41553112,120,121,TRUE,115,TRUE,122,TRUE,,,,
Anze Kopitar,25.94886816,121,91,TRUE,152,TRUE,171,FALSE,,,,
Torey Krug,25.46968671,122,166,TRUE,91,TRUE,86,TRUE,,,,
Ryan Nugent-Hopkins,23.84144725,123,114,TRUE,150,TRUE,92,TRUE,,,,
Zach Werenski,20.77235454,124,188,FALSE,72,FALSE,74,FALSE,,,,
Tomas Hertl,20.73957683,125,109,TRUE,136,TRUE,81,TRUE,,,,
Jonathan Quick,20.44311153,126,27,FALSE,126,TRUE,#N/A,#N/A,,,,
Blake Wheeler,20.04460502,127,120,TRUE,170,TRUE,121,TRUE,,,,
